StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q3,Q4_1,Q5_1,Q6,Q39,Q39_1_TEXT,Q38,Q7,Q7_1_TEXT,Q8,Q9,Q9_1_TEXT,Q10,Q11,Q11_1_TEXT,Q12,Q13,Q13_1_TEXT,Q14,Q15,Q15_1_TEXT,Q16,Q19,Q19_1_TEXT,Q20,Q21,Q21_1_TEXT,Q22,Q23,Q23_1_TEXT,Q24,Q25,Q25_1_TEXT,Q26,Q29,Q29_1_TEXT,Q30,Q31,Q31_1_TEXT,Q32
2018-11-12 13:55:18,2018-11-12 14:36:56,IP Address,129.100.255.21,100,2498,True,2018-11-12 14:36:57,R_bBep6Lajqh6i4HT,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M105,Man had nightmare about the same day multiple times,Neither like nor dislike,Was engaged half of the time,No,Enter answer:,male,,,,Guy,,,,Enter answer:,weird things,,Enter Answer:,bus,,Enter Answer:,no,,Enter Answer:,no,,Enter answer:,cigarettes and freezer,,,,,,,,,,The advertisement in the elevator,Enter Answer:,no,
2018-11-14 09:54:54,2018-11-14 11:48:55,IP Address,129.100.247.74,100,6841,True,2018-11-14 11:48:55,R_1LtyyMCsiYt6HTt,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M106,"Explosions, Dreams, Cigerattes, June 15th ",Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,Male,,Enter answer:,Guy,,,,Mary,Enter answer:,Explosions,,Enter Answer:,Bus,,Enter Answer:,No,,Enter Answer:,Yes,,Enter answer:,Cigarettes,,,,Cry,Enter Answer:,Accounting,,,,The advertisement in the elevator,Enter Answer:,No,
2018-11-14 13:20:30,2018-11-14 14:47:11,IP Address,129.100.247.74,100,5200,True,2018-11-14 14:47:11,R_2QX7nz04bTBULZj,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M107,Man wakes up from a nightmare about an explosion. His wife had the same nightmare. His day felt strange. Turns out he was dreaming the whole time. He dreamt about the 15th. All the events that took place in his dream took place the following day.,Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,male,,,,Jack,,,Sophie,Enter answer:,explosion,,Enter Answer:,bus,,Enter Answer:,henry,,Enter Answer:,no,,Enter answer:,fridge and cigarettes,,,,Scream,,,,,,,Enter Answer:,no,
2018-11-16 09:28:50,2018-11-16 09:40:50,IP Address,129.100.247.74,100,719,True,2018-11-16 09:40:50,R_3nBMRQfQiYVG5GX,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M108,"Man wakes up to the same day twice, june 15th, his wife and friends seem to not notice that it is the same day repeated",Like somewhat,Was engaged more than half the time,No,Enter answer:,"male ",,Enter answer:,"guy ",,,,Mary,Enter answer:,"an explosion ",,Enter Answer:,"bus ",,Enter Answer:,"no ",,Enter Answer:,"people he didnt normally see ",,Enter answer:,new type of freezer adn cigarettes,,,,Scream,Enter Answer:,"accounting ",,Enter Answer:,"change in elevator music ",,Enter Answer:,"no ",
2018-11-19 14:32:22,2018-11-19 14:46:18,IP Address,129.100.255.24,100,835,True,2018-11-19 14:46:18,R_pcLPZYq6OLJClbz,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M109," A man appears to be repeating the same day, as he wakes up and has a dream about an explosion. At first his wife has the same dream. He gets on the bus but doesn't see the regular people. When he sees an old friend, the friend acts like they don't know each other. The man then gets off the bus. The main character gets on the elevator and hears an unusual commercial. He talks to his secretary, and the next day repeats.  ",Like somewhat,Was engaged with the entire story,No,Enter answer:,male,,,,Jack,,,Mary,Enter answer:,an explosion,,Enter Answer:,bus,,Enter Answer:,no,,Enter Answer:,no,,Enter answer:,freezers,,,,Scream,,,Accounting,Enter Answer:,commercials,,Enter Answer:,no,
2018-11-21 09:51:48,2018-11-21 12:05:32,IP Address,129.100.247.74,100,8023,True,2018-11-21 12:05:32,R_1qb7qlsHxjXHxQV,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M110,"There was this man named Guy Burkehart who suddenly woke up froma  dream about an explosion. He was screaming and his wife came asking if everything was alright, saying that she was just cooking breakfast for the both of them. He expalined to her his dream and she said taht she had the same one as well. He got up and got dressed, once he made it to the bus he realized that the usual people were not on it. He finally saw one of his friends who did not recognize him and got off immediately for his stop. Guy works on the 98th floor in an accounting firm and when he was going up the elevator he heard a commercial about a freezer which he thought was weird. Once he got to his floor he asked the receptionist where his boos was because it was the 15th and he needed to sign something important. The receptionist said taht he was in a meeting and will not make it in today and he asked her about the freezer commercial from the elevator. The next day he woke up screaming again about teh same dream and asked his wife if she had the same one the second nigth in a row but she stated that she has never had that dream before. She told him to hurry up because it was the 15th and there was taht big signjing today. He was confused but just thought that it was all some big dream that felt real/. He went ont he bus again and saw his friend Henry who asked why he was talking to him and if he remembers that thety should keep something secret. Henry got off the bus urgently again and then Guy got off at his stop to go up the elevator for the 98th floor where he heard a commercial about marlons cigarettes. He asked the recptionist where his boss was but he already knew the answer to that question. she told him to relax and smoke the same cigarette from the commerciala and he asked her ""what are we some sort of guinea pigs?""",Neither like nor dislike,Was engaged half of the time,No,Enter answer:,male,,Enter answer:,Guy Burkehart,,Enter answer:,Mary,,Enter answer:,an explosion,,Enter Answer:,bus,,Enter Answer:,no,,Enter Answer:,no,,Enter answer:,"freezer and cigarettes ",,,,Scream,Enter Answer:,"the accounting department ",,,,His secretary's new hairdo,Enter Answer:,no,
2018-11-21 12:57:23,2018-11-21 14:44:42,IP Address,129.100.247.74,100,6438,True,2018-11-21 14:44:42,R_1Kv5TtvkYy2KtGe,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M111,"A man woke up and scared because he had a dream about an explosion. The wife said in the morning she had the same dream. The man went to work (he was an accountant) and everything seemed different to him. He didn't see the regular people on the bus, there was a different ad in the elevator (freezer), the man wasn't there to sign the quarterly paper, it was Novemeber 15th (I think). The next morning the man woke up screaming becuase he dreamt of an explosion. His wife said that she didn't have a dream about an explosion yesterday. The same weird things happened at the previosu day. The ad in the elevator was for Marlon cigarettes and the day, the man wasn't there to sign the papers, it was November 15th again. ",Like somewhat,Was engaged with the entire story,No,Enter answer:,male,,,,Guy,,,,Enter answer:,explosion,,Enter Answer:,bus,,Enter Answer:,nope,,Enter Answer:,nope,,Enter answer:,freezers and then marlon cigarettes,,Enter Answer:,went to work,,Enter Answer:,accounting,,Enter Answer:,the girls new hairstyle,,Enter Answer:,no,
2018-11-23 09:22:49,2018-11-23 09:45:44,IP Address,129.100.247.74,100,1374,True,2018-11-23 09:45:44,R_1pMDA80b7QIr4zl,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M112,"The story began wth Guy waking up from a nightmare of an explosion. He tells his wife of this and she states that she had the same dream. He them proceeds to go about his day which consists of riding the bus (which seems stranger than usual as the normal passengers aren't there), greeting his friend (who doesn't remember him), riding up to 98th floor of his workplace listening to an unfamiliar elevator ad, greetting his receptionist and learning that his boss won't be in at work to look over the quarterly report. This day ends, and Guy believes it to be a dream as his wife doesn't recall her conversation with him that morning. His day then repeats. ",Like somewhat,Was engaged with the entire story,No,Enter answer:,Male,,Enter answer:,Guy M.,,Enter answer:,Mary,,Enter answer:,An explosion,,Enter Answer:,Bus,,Enter Answer:,No,,Enter Answer:,No,,Enter answer:,Cigarettes,,Enter Answer:,Eat breakfast,,Enter Answer:,Acounting,,Enter Answer:,His receptionist's hair,,Enter Answer:,No,
2018-11-26 11:18:46,2018-11-26 11:41:31,IP Address,129.100.247.74,100,1364,True,2018-11-26 11:41:31,R_b7trvIzn7yK5A0p,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,m113,"a husband and wife both had the same dream about an explosion and woke up stratlled. When the man went to work everything seemed strange, the regular people wernt on the bus, different ads were playing in the elevator, the girl had different hair and his boss wasnt there to sign the quartly. The next day he had the same dream and same day, when his wife asked what was wrong he said he was having the dream that thye both had the night before, and she said she didnt have no such dream. ",Like somewhat,Was engaged more than half the time,No,,,Male,,,Guy,,,Mary,Enter answer:,"explosion ",,Enter Answer:,bus,,Enter Answer:,no,,Enter Answer:,no,,,,Freezers and cigarettes,Enter Answer:,"scream ",,Enter Answer:,"accounting ",,Enter Answer:,"the girls hair ",,Enter Answer:,no,
2018-11-28 11:24:44,2018-11-28 11:39:20,IP Address,129.100.247.74,100,875,True,2018-11-28 11:39:20,R_26fZr2aU50Q8U7P,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,m115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28 11:39:23,2018-11-28 11:42:53,IP Address,129.100.247.74,100,210,True,2018-11-28 11:42:53,R_1j8P9Ywe6RcVGDr,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M115,"A guy has anightmare and when he wakes up, he tells another girl that there was an exxplosion  in his dream. The woman then says she too had a dream with an explosion. I don't remember the rest",Dislike somewhat,Was not engaged at all,No,Enter answer:,Male,,,,,,,,Enter answer:,an Explosion,,,,,,,,Enter Answer:,No,,,,,,,,,,,,,,,,
2018-12-05 14:18:14,2018-12-05 14:43:06,IP Address,129.100.247.74,100,1492,True,2018-12-05 14:43:07,R_12xWPvsgVJAYTfA,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M115,"Guy Berkhard woke up from a dream in which he heard an explosion. He called for his wife, Mary, who had mentioned she was in the kitchen. He explained why he woke screaming and Mary claimed that she had the same dream; however, he was running late for work. Guy got up and went to work but he noticed that the bus did not have its usual crowd. He met his friend Henry Swanson on the bus but his friend did not seem to recognize him. Guy got off the bus and headed to the 98th floor of his work building. the advertisement playing was for freezers. He got to his floor and told his secretary that he liked her hairstyle. He then asked where one of his colleagues was as he had to sign a quarterly state on that day (June 15). The secretary mentioned that the colleague had gone out with Mr. D. Guy was shocked and then asked his secretary what the new advertisements were for. Guy then awake again screaming from the same dream about an explosion. He told his wife that he had it again, however his wife claimed she had never had that dream before and mentioned that the date was June 15 again. Guy then assumed the day he had experienced was a complete dream. He went to work, noticing the lack of crowd again. He say Henry again, to whom he said hi. However, Henry quickly whispered to him, don't you remember, you are not supposed to say anything to me. This is my stop, I'm getting off."" Guy then went back to the 98th floor but the advertisement shown currently was for Marlin cigarettes. He met his secretary again and she asked if he liked her hair. He then asked his secretary where his colleague went and answered his own question at the same time as her. The secretary then gave him a Marlin cigarette to calm down.",Like somewhat,Was engaged with the entire story,No,Enter answer:,Male,,Enter answer:,Guy,,Enter answer:,Mary,,Enter answer:,An explosion,,Enter Answer:,Bus,,Enter Answer:,No,,Enter Answer:,No,,Enter answer:,freezers and Marlin cigarettes,,Enter Answer:,Scream,,,,Accounting,Enter Answer:,His secretary's hair,,Enter Answer:,No,
