Rank,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Last Update Posted,URL
20,A Rehabilitation Intervention for Amnestic Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Memory Support System|Behavioral: Computer Training,"To assess participant adherence to Memory Support System (MSS) use at different levels (6 week, 10 day, or computer activity) of the training intervention. This will be measured by an overall adherence score (Adherence Assessment).|To assess participant adherence to (Memory Support System) MSS use at different levels (6 week, 10 day, or computer activity) of the training intervention. This will be measured by an overall adherence score (Adherence Assessment).|To assess participant adherence to (Memory Support System)MSS use at different levels (6 week, 10 day, or computer activity) of the training intervention. This will be measured by an overall adherence score (Adherence Assessment).",04-Dec-14,https://ClinicalTrials.gov/show/NCT01283269
21,"ThinkingFit: Combined Physical, Cognitive and Social Treatment in Mild Cognitive Impairment (MCI)",Completed,No Results Available,Mild Cognitive Impairment,Procedure: ThinkingFit programme,Activity Compliance|Cardiovascular fitness measure|Cognitive measures|Measures of quality of life and everyday activities,28-Apr-14,https://ClinicalTrials.gov/show/NCT01603862
22,Support Groups for Patients With Mild Cognitive Impairment and Their Partners,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: support groups,"quality of life: RAND, GDS|caregiver: sense of competence (SCQ), burden of the problems in the Revised Memory and Behavioral Problems (RMBP)|Illness cognitions: Illness Cognitions Questionnaire (ICQ)|marital satisfaction: Maudsley Marital Questionnaire (MMQ)",21-May-08,https://ClinicalTrials.gov/show/NCT00285753
23,Effects of Dietary Interventions on the Brain in Mild Cognitive Impairment (MCI),Completed,No Results Available,Mild Cognitive Impairment,Behavioral: caloric restriction|Behavioral: omega-3 supplementation|Behavioral: resveratrol supplementation|Behavioral: Placebo|Behavioral: 2nd step: intervention + physical / cognitive training|Behavioral: 2nd step: intervention + control,Alzheimer's Disease Assessment Scale - cognitive subscale|Functional/Structural brain changes|Plasma biomarkers,28-Jul-17,https://ClinicalTrials.gov/show/NCT01219244
24,Effects of Mental Stimulation in Patients With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment (MCI),Behavioral: mentally stimulating activities,Self-Ordered Pointing Task|Trail-Making|Timed Instrumental Activities of Daily Living|Rey Auditory Verbal Learning Test|Self-ordered pointing task|Clinical Dementia Rating Scale|Digit Symbol Substitution Test|Digit Span|Verbal Fluency Test|Geriatric Depression Scale|Neuropsychiatric Inventory|Recollection Task|N-Back|Rivermead Behavioral Memory Test|Instrumental Activities of Daily Living|Functional Capacities for Activities of Daily Living|Multifactorial Memory Questionnaire,09-Dec-15,https://ClinicalTrials.gov/show/NCT01212692
25,Efficacy and Safety of Actovegin in Post-stroke Cognitive Impairment (PSCI),Completed,Has Results,Post-Stroke Cognitive Impairment (PSCI),Drug: Actovegin|Drug: Placebo,"Change From Baseline in Alzheimer's Disease Assessment Scale + Cognitive Subscale Extended Version (ADAS-cog+) at Month 6|Change From Baseline in ADAS-cog+ at Month 3 and Month 12|Change From Baseline in Montreal Cognitive Assessment Scale (MoCA) at End of Infusion Period, Months 3, 6 and 12|Percentage of ADAS-cog+ Responders at Time Points 3, 6 and 12 Months|Percentage of Participants With a Diagnosis of Dementia|Change From Baseline in National Institutes of Health Stroke Scale (NIHSS) at End of Infusion Period, Months 3, 6 and 12|Barthel Index at Months 3 and 6|EuroQol EQ-5D (EQ-5D) at Month 6|EuroQol EQ-5D (EQ-5D) at Month 12|EuroQol EQ-5D (EQ-5D) General Health at Months 6 and 12|Beck Depression Inventory, Version II (BDI-II) at Months 3, 6 and 12",22-Feb-16,https://ClinicalTrials.gov/show/NCT01582854
26,"Cog-VACCINE: Cognitive Training in Patients With Vascular Cognitive Impairment, no Dementia",Completed,No Results Available,Vascular Cognitive Impairment no Dementia,Behavioral: multi-domain internet-based adaptive training program|Behavioral: placebo program,the Montreal Cognitive Assessment (MoCA)|the Trail Making Test (TMT) B-A|neuroplasticity outcome,15-Dec-17,https://ClinicalTrials.gov/show/NCT02640716
27,"Study to Evaluate Safety, Tolerability, and Effect of AL208 on Mild Cognitive Impairment Following Coronary Artery Bypass Graft Surgery",Completed,No Results Available,Mild Cognitive Impairment,Drug: AL-208|Drug: Placebo,The primary objective of this study was to compare mild cognitive impairment in the AL-208 group with the placebo group at 14å±3 days after coronary artery bypass graft (CABG) surgery.|The safety profile of AL-208 in subjects undergoing CABG surgery|The effect of treatment with AL-208 on postoperative personality changes in subjects undergoing CABG surgery|Concentration of AL-208 in plasma in subjects undergoing CABG surgery,24-Oct-12,https://ClinicalTrials.gov/show/NCT00404014
28,Efficacy And Safety Of CX516 In Elderly Participants With Mild Cognitive Impairment.,Completed,No Results Available,Mild Cognitive Impairment,Drug: CX516 (Ampalexå¨),,24-Jun-05,https://ClinicalTrials.gov/show/NCT00040443
29,Art Therapy and Music Reminiscence Activity in the Prevention of Cognitive Decline,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Art Therapy|Behavioral: Music Reminiscence Activity,Neuropsychological Test: Change from baseline in Rey Auditory Verbal Learning Test scores at 3 months and 9 months|Neuropsychological Test: Change from baseline in Digit Span Task scores at 3 months and 9 months|Neuropsychological Test: Change from baseline in Colour Trails Test scores at 3 months and 9 months|Neuropsychological Test: Change from baseline in Block Design Test scores at 3 months and 9 months|Change from baseline fMRI scan at 3 months|Change from baseline telomere lengths at 3 months and 9 months,26-Jan-18,https://ClinicalTrials.gov/show/NCT02854085
30,Effects of Green Tea Consumption on Homocysteine Metabolism and Cognitive Dysfunction,Completed,No Results Available,Cognitive Impairment,Dietary Supplement: green tea powder,Changes in the serum homocysteine levels|Changes in serum lipid levels|Changes in serum folic acid levels|Changes in mini mental state examination (MMSE) scores,16-Jul-13,https://ClinicalTrials.gov/show/NCT01594086
31,"The Efficacy, Safety, And Tolerability Of Donepezil HCl (E2020) In Patients With CADASIL Who Have Cognitive Impairment",Completed,No Results Available,Cognitive Impairment,Drug: Aricept,Cognitive function.,03-Nov-15,https://ClinicalTrials.gov/show/NCT00103948
32,"Safety, Tolerability and Efficacy Study to Evaluate Subjects With Mild Cognitive Impairment",Completed,No Results Available,"Mild Cognitive Impairment, So Stated",Drug: AL-108|Drug: Placebo,"Change from baseline to Week 12 on the Composite Memory Variable|Changes in the Composite Memory Variable from baseline to weeks 4, 8, and 16|Changes in test battery individual items from baseline to endpoints (weeks 4, 8, 12, and 16).",24-Oct-12,https://ClinicalTrials.gov/show/NCT00422981
33,NMDA-enhancing Agent for Treatment of Mild Cognitive Impairment and Mild Alzheimer's Disease,Completed,No Results Available,Alzheimer's Disease|Mild Cognitive Impairment,Drug: DAOI-B|Other: Placebo,"Change from baseline in Alzheimer's disease assessment scale-cognitive subscale in week 8, 16 and 24|Change from baseline in Mini Mental Status Examination at week 8, 16 and 24|Change from baseline in Instrumental Activities of Daily Living at week 8, 16 and 24|Change from baseline in Verbal learning and memory at week 24|Change from baseline in Digit Span subtest of the Wechsler Memory Scale at week 24",04-Jun-13,https://ClinicalTrials.gov/show/NCT01600469
34,Effects of Exercise Training in Patients With Mild Cognitive Impairment and Early Alzheimer's Disease,Completed,No Results Available,Mild CognitIve Impairment|Alzheimer's Disease,Other: Aerobic exercise|Other: Stretch exercise,Change from baseline in Color Trails Test at week12 and Week24|Change from baseline in walking speed at week12 and Week24,21-Apr-14,https://ClinicalTrials.gov/show/NCT02119546
35,Efficacy and Safety Study of Shenwu Capsule,Completed,Has Results,Mild Cognitive Impairment,Drug: Shenwu Capsule|Drug: Donepezil,Change in Cognitive Scores: Alzheimer Disease Assessment Scale-cognitive. Subscale (ADAS-cog)|Change in Memory Scores: The Delayed Story Recall (DSR) Test From the Adult Memory and Information Processing Battery (AMIPB)|Change in Functional Scores: Instrumental Activities of Daily Living (IADL).,10-Oct-14,https://ClinicalTrials.gov/show/NCT01451749
36,A Trial to Explore the Potential Benefit of Safinamide on Cognitive Impairment Associated With Parkinson's Disease,Completed,No Results Available,Parkinson's Disease With Cognitive Impairments,Drug: safinamide|Drug: placebo,Parkinson's Disease Cognitive Rating Scale (PD-CRS)|PD-CRS subscale scores|PD-CRS total score|Dementia Rating Scale - 2 (DRS-2) total score|DRS-2 total score|DRS-2 subscale scores|Clinical Global Impression (CGI) Change in Cognitive Dysfunction (CGI-C Cognition)|CGI-C Cognition|CGI-Severity in Cognitive Dysfunction (CGI-S Cognition)|CGI-S Cognition|Patient's Clinical Global Impression of Change in Cognitive (PCGI-C Cognition)|PCGI-C Cognition|Grid-Hamilton Depression Rating Scale (Grid-HAMD)|Grid-HAMD|Parkinson's Disease Sleep Scale (PDSS)|PDSS|Apathy Scale (AS)|AS,29-Mar-13,https://ClinicalTrials.gov/show/NCT01211587
37,"Caloric Restriction in Obese Patients With Mild Cognitive Impairment: Effects on Adiposity, Comorbidity and Cognition",Completed,No Results Available,Mild Cognitive Impairment|Obesity,Other: medical care|Behavioral: caloric restriction,Neuropsychological test performance|Diagnosis of dementia|Weight loss|plasma biomarkers|Genotyping apolipoprotein E|Charlson comorbidity index|International physical activity questionnaire- short version (IPAQ)|Evaluation of Food Consumption|SPPB- Short physical performance battery|Blood pressure,05-Nov-14,https://ClinicalTrials.gov/show/NCT01286389
38,A Study of the Safety and Tolerability of AZD5213 Effect on Sleep for Patients With Alzheimer's/Cognitive Impairment,Completed,Has Results,Mild Cognitive Impairment|Mild Alzheimer's Disease,Drug: AZD5213|Other: Placebo,"Change From Baseline in Total Sleep Time (TST) After 4 Weeks of Treatment, Based on PSG Measurement.|Change From Baseline in Sleep Efficiency After 4 Weeks of Treatment, Based on PSG Measurements.|Change From Baseline in Latency to Persistent Sleep After 4 Weeks of Treatment, Based on PSG Measurements.|Change From Baseline in Night Total Sleep Time After 4 Weeks of Treatment, Based on Actigraphy Recording.|Change From Baseline in Latency of Persistent Sleep After 4 Weeks of Treatment, Based on Actigraphy Recording.|Change From Baseline in Sleep Efficiency After 4 Weeks of Treatment, Based on Actigraphy Recording.",07-Feb-17,https://ClinicalTrials.gov/show/NCT01548287
39,A 3 Year Study to Evaluate the Safety and Efficacy of Low Dose Ladostigil in Patients With Mild Cognitive Impairment,Completed,Has Results,Mild Cognitive Impairment|Dementia,Drug: ladostigil hemitartrate|Drug: Placebo,Conversion From Mild Cognitive Impairment to Alzheimer's Disease Compared to Placebo|Change in Geriatric Depression Scale for Ladostigil Versus Placebo Population|Change in Neuropsychiatric Test Battery for Ladostigil Versus Placebo Population|Change in Disability Assessment in Dementia for Ladostigil Versus Placebo Population,15-Jun-17,https://ClinicalTrials.gov/show/NCT01429623
40,Mild Cognitive Impairment in Parkinson's Disease,Completed,Has Results,Parkinson's Disease|Mild Cognitive Impairment,Drug: Exelon Patch (rivastigmine transdermal system)|Drug: Placebo Patches,Alzheimer's Disease Cooperative Study- Clinical Global Impression Change (ADCS-CGIC)|Montreal Cognitive Assessment (MoCA),07-Apr-17,https://ClinicalTrials.gov/show/NCT01519271
41,Memory Encoding Strategies for People With Mild Cognitive Impairments,Completed,No Results Available,Mild Cognitive Impairment|Mild Dementia,Other: Behavioral: perceptual-based memory encoding training|Other: Behavioral: semantic-based memory encoding training|Other: Behavioral: Cognitive stimulation group (control group),Change in Disability Assessment for Dementia|Change in Instrumental Activities of Daily Living Scale|Change in Cognistat|Change in Digit Span Test|Change in Consortium to Establish a Registry for Alzheimer's Disease,03-Nov-16,https://ClinicalTrials.gov/show/NCT02953964
42,Atomoxetine Treatment for Cognitive Impairment in Parkinson's Disease (ATM-Cog),Completed,No Results Available,Parkinson's Disease|Cognitive Impairment,Drug: Atomoxetine|Drug: Placebo,Neuropsychological Testing Battery|Safety measures,16-Mar-16,https://ClinicalTrials.gov/show/NCT01738191
43,Effects of Tai Chi Exercise on Cognition and Serum Biomarkers of Individuals With MCI,Completed,No Results Available,Mild Cognitive Impairment,Other: Tai Chi exercise,Change from baseline in cognitive functions at 6 months|Change from baseline in serum biomarkers at 6 months|Change from baseline in fall risk at 6 months|Change from baseline in quality of life at 6 months|Change from baseline in cognitive functions at 3 months|Change from baseline in fall risk at 3 months,28-Jul-16,https://ClinicalTrials.gov/show/NCT02552329
44,Protocol of Virtual Interactive Memory-Training Program,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Virtual interactive memory training|Behavioral: Passive information activities,Change in objective memory performance as measured by the Chinese version of the Wechsler Memory Scale-III (WMS-III).|Change in subjective memory complaints as measured by the Multifactorial Memory Questionnaire (MMQ).,15-Dec-17,https://ClinicalTrials.gov/show/NCT02462135
45,Study of the Effect of the Cognitive Orientation to Daily Occupational Performance (CO-OP) on Cognitive Impairment in Parkinson's Disease,Completed,No Results Available,Parkinson's Disease|Cognitive Impairment,Behavioral: CO-OP treatment protocol,"Change from Pre-Intervention Phase Baseline Pattern (2 week duration) on Canadian Occupational Performance Measure (COPM) score pattern at Intervention Phase (6 week duration), Post-Intervention Phase (2 week duration), and 3-Month Follow-up|Change from Pre-Intervention Phase Baseline Pattern (2 week duration) on Parkinson Disease Questionnaire - 39 (PDQ-39) score pattern at Intervention Phase (6 week duration), Post-Intervention Phase (2 week duration), and 3-Month Follow-Up|Change from Pre-Intervention Phase Baseline Pattern (2 week duration) on Zarit Burden Interview score pattern at Intervention Phase (6 week duration), Post-Intervention Phase (2 week duration), and 3-Month Follow-Up|Change from Pre-Intervention Baseline Observations (2 week duration) on Direct Observation Record at Intervention Phase (6 week duration), Post-Intervention Phase (2 week duration), and 3-Month Follow-Up|Change from Pre-Intervention Baseline Observations (2 week duration) on Semi-Structured Interview at Intervention Phase (6 week duration), Post-Intervention Phase (2 week duration), and 3-Month Follow-Up|Reflective Journal Log",19-Oct-15,https://ClinicalTrials.gov/show/NCT02007785
46,Assess the Prognostic Usefulness of Flutemetamol (18F) Injection for Identifying Subjects With Amnestic Mild Cognitive Impairment Who Will Convert to Clinically Probable Alzheimer's Disease,Completed,Has Results,Mild Cognitive Impairment|Alzheimer's Disease,Drug: Flutemetamol (18F) Injection,Hazard Ratio (HR) by PET Scan Readers for Conversion to Probable Alzheimer's Disease Based on Visual Image Interpretation.|The of Normal and Abnormal Subjects Who Convert to Probable Alzheimer's Disease (pAD) Within the Follow up Period.,11-Sep-14,https://ClinicalTrials.gov/show/NCT01028053
47,Sensory-cognitive and Physical Fitness Training in Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment (MCI)|Mild Alzheimer's Disease,Other: auditory discrimination training|Other: physical movement training,"Change in global cognition|electrophysiological, MRI, blood and liquor correlates",14-Jul-16,https://ClinicalTrials.gov/show/NCT01061489
48,Pioglitazone Or Exercise to Treat Mild Cognitive Impairment (MCI),Completed,Has Results,Mild Cognitive Impairment,Drug: Pioglitazone|Drug: Placebo|Behavioral: Endurance Exercise Training,Change in Cognitive Performance|Change in Insulin Resistance|Change in Peak Oxygen Uptake (VO2 Peak),15-Jan-16,https://ClinicalTrials.gov/show/NCT00736996
49,Dual Task Aerobic Exercise for Older Adults With Cognitive Impairment (HM2),Completed,No Results Available,Cognitive Impairment,Behavioral: Exercise Intervention|Behavioral: Exercise Control,Global cognitive functioning|Executive Function/Mental Flexibility|Processing Speed|Verbal Learning and Memory|Verbal Fluency|Gait variability (step length) under dual-task conditions|Gait variability (step length) under single-task conditions|Gait speed under dual-task conditions|Gait speed under single-task conditions|Double support (seconds and % gait cycle time) under dual-task conditions|Double support (seconds and % gait cycle time) under single-task conditions|Step length under dual-task conditions|Step length under single-task conditions|Carotid artery compliance|Carotid artery Intima-media thickness (IMT)|Ambulatory systolic blood pressure|Clinic systolic blood pressure|Ambulatory diastolic blood pressure|Clinic diastolic blood pressure|Total balance score|Total Falls Self-Efficacy score,28-Oct-14,https://ClinicalTrials.gov/show/NCT01572311
50,Mild Cognitive Impairment and Obstructive Sleep Apnea,Completed,No Results Available,Obstructive Sleep Apnea|Mild Cognitive Impairment,Device: Continuous Positive Airway Pressure [CPAP],Hopkins Verbal Learning Test-Revised [HVLT-R]|Everyday Cognition [E-Cog]|Digit Symbol-Coding [DSC]|Mini Mental State Exam (MMSE)|Stroop Color and Word Test [SCW]|The Psychomotor Vigilance Task (PVT)|Epworth Sleepiness Scale [ESS]|Functional Outcomes Sleep Questionnaire [FOSQ]|Alzheimer's Disease Cooperative Study - Clinicians' Global Impression of Change Scale [ADCS-CGIC]|Clinical Dementia Rating Scale [CDR]|Neuroimaging Biomarker: Hippocampal Volume|Neuroimaging Biomarker: Regional Brain Volume and Thickness.|Neuroimaging Biomarker: Hippocampal Subfield Volumes.|Neuroimaging Biomarker: Ischemic Lesion Volume.|Neuroimaging Biomarker: Cerebral Blood Flow.,17-Mar-15,https://ClinicalTrials.gov/show/NCT01482351
51,The Efficacy of Robot Assisted Group Cognitive Training in Elderly Adults Without Cognitive Impairment,Completed,No Results Available,Age-Related Cognitive Decline,Behavioral: Robot assisted cognitive training|Behavioral: Conventional cognitive training group,the change in cortical thickness between the baseline and the post-intervention assessment.,10-May-12,https://ClinicalTrials.gov/show/NCT01596205
52,"Safety, Tolerability, Pharmacokinetics of EVP-0962 and Effects of EVP-0962 on Cerebral Spinal Fluid Amyloid Concentrations in Healthy Subjects and in Subjects With Mild Cognitive Impairment or Early Alzheimer's Disease",Completed,No Results Available,Mild Cognitive Impairment|Alzheimer's Disease,Drug: EVP-0962|Drug: Placebo,"The number of adverse experiences reported by subjects and/or observed by investigator and repeated clinical evaluations of physical examinations, vital signs, 12-lead ECG (electrocardiogram), and lab tests (hematology, chemistry, urinalysis)|To measure the rate of synthesis of Amyloid Beta in cerebral spinal fluid of healthy subjects|To measure the concentration of Amyloid Beta in cerebral spinal fluid|To measure the rate of synthesis of Amyloid Beta and steady-state levels in the cerebral spinal fluid in MCI or early Alzheimer's disease patients|To determine single-and repeat-dose EVP-0962 pharmacokinetics in cerebral spinal fluid and plasma",13-Jan-14,https://ClinicalTrials.gov/show/NCT01661673
53,Calligraphy Writing for Cognitive and Emotional Enhancement Among Older MCI People,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Calligraphy Training|Behavioral: iPad Training,"Change in Digit span backward test (DSB) from baseline, after end of training, and 6-month follow-up.|Color Trails Test (CTT)|Symbol-digit Modalities Test (SDMT)|Heart rate and heart rate variability.|Blood pressure.|Geriatric Depression Scale - Short Form (GDS-SF)|Consortium to Establish a Registry for Alzheimer's Disease - Neuropsychological Assessment Battery (CERAD-NAB)",29-Apr-16,https://ClinicalTrials.gov/show/NCT02755792
54,PROMOTE: Promotion of the Mind Through Exercise,Completed,No Results Available,Vascular Cognitive Impairment,Behavioral: Aerobic-based exercise training|Behavioral: CON (control; usual care),This is a proof-of-concept study. The primary endpoints are: ADAS-Cog|EXIT-25|ADCS-ADL|Secondary outcomes of interest include: performance of specific executive processes|Physical function|Inflammatory biomarkers|Serum glucose and lipids. These will be assessed at 6 and 12 months.,04-Oct-17,https://ClinicalTrials.gov/show/NCT01027858
55,"A Phase II Trial of Florbetapir (18F) Positron Emission Tomography (PET) Imaging in Japan of Healthy Volunteers, Patients With Mild Cognitive Impairment (MCI) and Patients With Alzheimer's Disease (AD)",Completed,Has Results,Alzheimer's Disease|Mild Cognitive Impairment,Drug: florbetapir (18F),Qualitative Amyloid Image Assessment|Mean Cortical to Cerebellum SUVR,19-Sep-13,https://ClinicalTrials.gov/show/NCT01662882
56,Brain and Cognitive Changes After Reasoning Training in Individuals With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment,Device: tDCS|Device: Sham tDCS,Changes in memory or thinking after brain training|Brain connectivity and activation changes from Pre-treatment to Post-treatment|Changes in brain wave activity from Pre-Treatment to Post-Treatment,18-May-18,https://ClinicalTrials.gov/show/NCT02596906
