StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q38,Q3,Q4_1,Q5_1,Q6,Q55,Q55_3_TEXT,Q56,Q8,Q8_1_TEXT,Q9,Q10,Q10_1_TEXT,Q11,Q14,Q14_1_TEXT,Q15,Q20,Q20_1_TEXT,Q21,Q22,Q22_1_TEXT,Q23,Q24,Q24_1_TEXT,Q25,Q28,Q28_1_TEXT,Q29,Q30,Q30_1_TEXT,Q31,Q34,Q34_1_TEXT,Q35,Q36,Q36_1_TEXT,Q37,Q38,Q38_1_TEXT,Q39,Q40,Q40_1_TEXT,Q41,Q44,Q44_1_TEXT,Q45,Q46,Q46_1_TEXT,Q47,Q50,Q50_1_TEXT,Q51
2018-11-14 13:20:20,2018-11-14 14:39:34,IP Address,129.100.247.74,100,4753,True,2018-11-14 14:39:34,R_2ahtPZj2Z577A9t,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14 14:39:38,2018-11-14 14:43:21,IP Address,129.100.247.74,100,223,True,2018-11-14 14:43:22,R_BVYTr9VVNbaPWcF,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M107,Girl is a finalist on American Idol. She's vey anxious about meeting Simon Cowel. She wants some help to control her anxiety. Her mom suggests her to get help from someone.,Neither like nor dislike,Was engaged less than half the time,No,Enter answer:,female,,,,Rachel,Enter answer:,her mom,,Enter answer:,American Idol,,,,Hermione,Enter answer:,pedicures,,Enter answer:,harry potter,,Enter answer:,yes,,Enter answer:,tuesday,,,,She couldn’t stop thinking about Simon,Enter answer:,her performance,,I don't know,,Vodka,Enter answer:,vodka bottle,,,,Very bad,Enter answer:,her mom,,,,Dressing room
2018-11-16 09:28:39,2018-11-16 09:37:32,IP Address,129.100.247.74,100,533,True,2018-11-16 09:37:32,R_smOxbGCYMeHDgXv,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M108,"Women on american idol, is oppsessed with simon, visits a furtune teller who tells her to think of vodka. ",Neither like nor dislike,Was engaged half of the time,No,Enter answer:,"Female ",,Enter answer:,"rachel ",,Enter answer:,"Mother ",,Enter answer:,"Idol ",,Enter answer:,Hermine,,Enter answer:,"nail salon ",,Enter answer:,"harry potter ",,Enter answer:,"no ",,Enter answer:,"tuesdays ",,Enter answer:,"obsession with simon ",,Enter answer:,"her final performance ",,Enter answer:,"vodka ",,Enter answer:,a mini vodka bottle,,Enter answer:,"worse then before ",,Enter answer:,"her mom ",,Enter answer:,"dressing room ",
2018-11-19 14:32:09,2018-11-19 14:35:24,IP Address,129.100.255.24,100,194,True,2018-11-19 14:35:24,R_1Hqx4au7MR2rbwP,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19 14:35:35,2018-11-19 14:41:41,IP Address,129.100.255.24,100,366,True,2018-11-19 14:41:42,R_2q3DhWPhcL2o2b9,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M109,"A girl first talks on the phone with her mom. She has anxiety about seeing Simon on America's Got Talent. Her mom suggests going to a psychologist but she chooses to go to a psychic. She doesn't know much about psychics so she chooses one with the name Hermione, as she loves Harry Potter. The psychic, instead of using a crystal ball, uses a vodka bottle and afterwards the girl becomes more and more obsessed with alcohol and her fear of Simon gets worse.",Like somewhat,Was engaged more than half the time,No,Enter answer:,female,,Enter answer:,Mary,,Enter answer:,mom,,Enter answer:,America's Got Talent,,Enter answer:,Hermione,,Enter answer:,pedicures,,Enter answer:,Harry Potter,,,,,Enter answer:,tuesday,,,,She couldn’t stop thinking about Simon,Enter answer:,Her performance,,Enter answer:,vodka,,Enter answer:,vodka bottle,,Enter answer:,worse,,Enter answer:,mom,,,,Dressing room
2018-11-21 09:51:45,2018-11-21 11:51:23,IP Address,129.100.247.74,100,7178,True,2018-11-21 11:51:24,R_28YWQFpzsB3npbb,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M110,"It was about a girl in the finals for american idol and she was very nervous. Her mother suggested doing something about her stage fright so she will sing well in the finals so she went searching in the newspaper for a psychic. The one she found was named Hermione and she also was a pedicurist. Once she got there, she explained to Hermoine that Simon was the harshest judge and she was most nervous for him, she even stated that she hears his voice everywhere. Once she explained her story, Hermoine aske dher if she liked vodka and she said that she drinks it on occasion but does noy love it taht much. Hermoine then told her to focus on the vodka and the girl said ""is it not supposed to be a crystal ball?"" but she did it anyways. After leaving Hermoine's, she felt worse than before; pale in the face and began hearing simon's voice. She was close to a panic attack so we went and bougth a margarita vodka and went on with her day. The day of the finals she came on set and Siman asked if everything was okay and she said yes and that she is going to go and practice for the show. He asked her if she had vodka on her and she thouight taht was a crazy question and thought to herself that next time she should just go to a regular therapist for her needs. ",Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,female,,,,Rachel,Enter answer:,"her mother ",,Enter answer:,american idol,,Enter answer:,"hermoine ",,Enter answer:,"pedicurist ",,Enter answer:,harry potter,,Enter answer:,yes,,Enter answer:,"tuesdays ",,Enter answer:,"she was nervous about simaon, one of teh judges ",,Enter answer:,"during the finals of american idol ",,I don't know,,Vodka,,,A tiny vodka bottle,Enter answer:,"worse tahn when she came in ",,Enter answer:,"he rmother ",,Enter answer:,"to his room ",
2018-11-21 12:57:21,2018-11-21 14:39:06,IP Address,129.100.247.74,100,6105,True,2018-11-21 14:39:07,R_1d5nsxcHiWDYMSr,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M111,"A girl called her mom to tell her she won American Idol. She had stage fright though and her mom told her to go see a pyschic about it. She looked in the newspaper and chose a psychic closest to her house. The psychic told her is would rain and she met the pyschic at 5:36pm. She said something about a voldka bottle. Then get got to American Idol and drank voldka and threw up on her high heels.  ",Like somewhat,Was engaged with the entire story,No,Enter answer:,female,,,,Rachel,Enter answer:,mom,,Enter answer:,american idol,,Enter answer:,Herminie,,Enter answer:,pedicure,,,,“Harry Potter”,Enter answer:,yes,,Enter answer:,tuesday,,Enter answer:,simon,,Enter answer:,her perfomance,,Enter answer:,voldka,,Enter answer:,voldka bottle,,Enter answer:,upset and panic,,Enter answer:,mom,,Enter answer:,dressing room,
2018-11-23 09:22:46,2018-11-23 09:37:58,IP Address,129.100.247.74,100,911,True,2018-11-23 09:37:58,R_3lSpEyVqXMIpdnk,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M112,,Neither like nor dislike,Was engaged more than half the time,No,Enter answer:,Female,,Enter answer:,Rachel,,Enter answer:,Her mom,,Enter answer:,American Idol,,Enter answer:,Hermionie,,Enter answer:,Pedicures,,Enter answer:,Harry Potter,,Enter answer:,Yes,,Enter answer:,Tuesday,,Enter answer:,Simon and stage fright,,Enter answer:,The finals,,Enter answer:,Vodka,,Enter answer:,A small vodka bottle,,Enter answer:,Worse than when she came in,,Enter answer:,Her mom,,Enter answer:,The dressing room,
2018-11-26 11:18:43,2018-11-26 11:30:59,IP Address,129.100.247.74,100,735,True,2018-11-26 11:30:59,R_AMBywYLMN9HTkZP,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,m113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26 11:31:04,2018-11-26 11:37:51,IP Address,129.100.247.74,100,406,True,2018-11-26 11:37:51,R_3mb3nxATlp7yuKv,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,m113,"rachel has the finals so she calls her mom for support because she has stage fright and is very nervous abotu seeing simon when she performs. She de cdidees to go to a physiotherapist who has very odd methods of heling her cope with her anxiety. She starts rubbing abottle of vodka and does many other strange things. She leaves feeling worse then before and hears simons voice, at this piont she knows she is getting very anxious. When she meets simon she plays it calm and asked how he is doing then went on to ask if he had a drink of vodka, simon answered no and was wierded out by the question. Simon then went to the back to grab refreshments (i think) and asked if she needed anythung, she said no. She then puked on her heels.",Dislike somewhat,Was engaged half of the time,No,Enter answer:,female,,Enter answer:,rachel,,Enter answer:,mom,,Enter answer:,americas got talent,,,,Hermione,Enter answer:,pedicures,,,,,Enter answer:,yes,,,,Tuesdays,Enter answer:,her upcoming meeting with simon,,Enter answer:,her meet with simon,,Enter answer:,vodka,,Enter answer:,vodka bottle,,Enter answer:,bad,,Enter answer:,mom,,,,Dressing room
2018-11-28 11:24:42,2018-11-28 11:32:01,IP Address,129.100.247.74,100,439,True,2018-11-28 11:32:01,R_2TvFyJX1jj9IYt7,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28 11:32:05,2018-11-28 11:37:56,IP Address,129.100.247.74,100,351,True,2018-11-28 11:37:56,R_3ez7HlgXgG51ISk,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M115,"The girl was finally reaching the finals of American Idol, and she wanted to call her mother to brag about it. I'm not sure what happens after that but I remember at one point she goes to a fortune teller to see if everything will go as planned. The fortune teller tells her that she has a good song selection and at one point, her love for Simon Cowell is brought up",Dislike somewhat,Was engaged less than half the time,No,Enter answer:,Female,,,,Rachel,Enter answer:,Her mother,,Enter answer:,American Idol,,,,Hermione,,,,Enter answer:,Harry Potter books,,,,,,,,,,She couldn’t stop thinking about Simon,,,‘American Idol’ final,I don't know,,Vodka,,,A tiny vodka bottle,,,,,,,,,
2018-12-05 14:18:12,2018-12-05 14:33:00,IP Address,129.100.247.74,100,887,True,2018-12-05 14:33:01,R_1DUb972iTkMxevQ,,,,,43.0146942138671875,-81.304901123046875,anonymous,EN,M115,,Like somewhat,Was engaged with the entire story,No,Enter answer:,Female,,,,Rachel,Enter answer:,Her mother,,,,‘American Idol’,Enter answer:,Hermione,,Enter answer:,Pedicures,,,,“Harry Potter”,Enter answer:,Yes,,Enter answer:,Tuesday,,Enter answer:,Stage Fright,,Enter answer:,Finals at American Idol,,Enter answer:,Vodka,,Enter answer:,Vodka bottle,,Enter answer:,Worse than she had when she came in,,Enter answer:,Her mother,,Enter answer:,His dressing room,
